,average_valence_number,average_electronegativity,average_atomic_number,mean wt CN_1,std_dev L-shaped CN_2,HF,std_dev wt CN_1,Barrier_energy
157,5.75,2.3075,19.916666666666668,7.700828397075385e-05,0.0592458455885441,-0.87,0.0001558392680655,0.1700000000000727
159,12.416666666666666,2.2875,31.916666666666668,3.577892312436883e-05,0.0555981540526691,-0.684,5.0599038329586766e-05,0.7699999999995271
161,6.0,3.063333333333333,27.33333333333333,0.0022116492721154,0.0002533944266252,-2.018,0.0021548770028178,0.0600000000004001
163,6.0,2.49,32.666666666666664,0.0305561840999971,0.0001963411240183,-0.888,0.0305580914200312,0.4600000000000364
165,12.666666666666666,2.47,44.66666666666666,0.0348591274667316,1.488380792148002e-05,-0.625,0.0348598553814824,0.8000000000001819
167,12.083333333333334,2.165833333333333,36.083333333333336,0.0002790146837747,0.002307791452211,-1.212,0.0003574173999432,0.8000000000001819
168,14.0,2.4091666666666662,36.5,0.0660552659432344,0.0012507927020671,-0.266,0.0657018025230491,0.8699999999998909
169,4.857142857142857,2.525714285714286,13.714285714285714,0.0,0.0,-1.86,0.0,0.1300000000001091
170,4.428571428571429,2.3885714285714283,21.0,0.0,0.0,-1.716,0.0,0.0799999999999272
171,4.857142857142857,2.435714285714286,21.428571428571427,0.0,0.0,-1.964,0.0,0.0799999999999272
172,7.333333333333333,3.046666666666667,28.666666666666668,0.0007186212253144,5.921040380702214e-05,-0.524,0.0006698071841381,0.0699999999997089
176,3.142857142857143,2.017142857142857,11.428571428571429,0.0,0.0,-0.635,0.0,0.1200000000001182
178,5.333333333333333,2.1808333333333336,22.5,0.0237693246085564,0.0358933756466818,-1.332,0.0289798508348114,0.3800000000001091
179,3.142857142857143,1.9271428571428573,19.142857142857142,0.0,0.0,-0.683,0.0,0.0899999999999181
181,5.916666666666667,2.9691666666666663,17.75,0.0298563573100654,0.0001742328532682,-2.027,0.0298579943107528,0.0600000000004001
182,5.916666666666667,2.395833333333333,23.08333333333333,0.0670252854285483,0.0006076478688417,-0.897,0.0671364302780319,0.4299999999998363
184,5.0,2.397142857142857,21.571428571428573,0.0,0.0,-1.371,0.0,0.0700000000001637
185,5.916666666666667,3.019166666666667,25.75,0.0378014840045868,0.0003214431002379,-2.07,0.0376168486798686,0.0500000000001819
186,5.0,2.3542857142857145,35.285714285714285,0.0,0.0,-1.397,0.0,0.0700000000001637
187,4.571428571428571,2.371428571428571,13.428571428571429,0.0,0.0,-1.609,0.0,0.1900000000000545
188,5.0,2.41,13.857142857142858,0.0,0.0,-1.107,0.0,0.0799999999999272
189,5.916666666666667,2.4458333333333333,31.08333333333333,0.114330459661218,0.0004687442479741,-0.866,0.1143754279513738,0.330000000000382
190,6.0,2.3316666666666666,22.83333333333333,0.0002087069465112,0.1061475212857634,-0.714,0.0003034305303033,0.3599999999996726
191,12.666666666666666,2.3116666666666665,34.833333333333336,0.0003090497206016,0.1065528080860025,-0.504,0.0003873166563694,0.7600000000002183
193,6.0,3.03,22.0,5.074956757389034e-05,0.0022514369779539,-1.999,7.631119055273405e-05,0.3000000000001819
194,12.666666666666666,2.4366666666666665,39.333333333333336,6.32582906221971e-06,0.0270537932535036,-0.681,1.4144983797167018e-05,0.8000000000001819
195,5.0,2.151428571428572,23.857142857142858,0.0,0.0,-0.805,0.0,0.4800000000000182
196,5.0,2.1085714285714285,37.57142857142857,0.0,0.0,-0.817,0.0,0.5
198,5.0,2.164285714285714,16.142857142857142,0.0,0.0,-0.621,0.0,0.4600000000000364
199,5.75,2.3241666666666667,22.58333333333333,9.858031803511775e-05,0.1015916535650407,-0.862,9.858031803511774e-05,0.1799999999998363
200,12.416666666666666,2.3041666666666667,34.583333333333336,0.0001011676918402,0.0998824382486886,-0.658,0.0001430727218744,0.7799999999997453
202,8.571428571428571,2.9514285714285715,17.428571428571427,0.31247432362016,0.0005477760364897,-1.329,0.4363893084307404,0.75
206,4.714285714285714,2.3542857142857145,15.857142857142858,0.0,0.0,-1.976,0.0,0.6700000000000728
208,12.0,1.8958333333333337,43.5,0.0017729948706579,0.0002830391787142,-0.635,0.0017470076662516,0.6466666666668365
211,4.714285714285714,2.5885714285714285,13.571428571428571,0.0,0.0,-2.695,0.0,0.0799999999999272
214,6.0,3.2122222222222216,17.11111111111111,0.3381588529413897,0.1189494005623223,-1.952,0.2919075634187724,0.110000000000582
215,3.4285714285714284,2.157142857142857,11.714285714285714,0.0,0.0,-1.084,0.0,0.1099999999998999
216,6.111111111111111,2.807777777777778,25.666666666666668,0.4395413781246502,0.1727032698379512,-0.914,0.2567491435164477,0.1099999999996725
217,6.111111111111111,3.263333333333333,21.22222222222222,0.4149318780149432,0.0907163582918515,-1.975,0.3009487445902796,0.110000000000582
218,6.111111111111111,2.807777777777778,22.11111111111111,0.4384491110101838,0.182296160169353,-0.894,0.2598324161465065,0.089999999999236
219,6.111111111111111,3.263333333333333,17.666666666666668,0.4206441542467598,0.1083750385046858,-1.925,0.3085083587597274,0.0999999999985448
220,6.111111111111111,2.712222222222222,26.55555555555556,0.4584985428234767,0.1718970318308334,-0.744,0.2484524374429723,0.3999999999996362
221,6.111111111111111,3.1677777777777774,22.11111111111111,0.4274472011482085,0.0866045790999687,-1.801,0.289679601864189,0.430000000000291
222,6.111111111111111,3.1677777777777774,18.55555555555556,0.4395329774734191,0.1094000364149109,-1.751,0.2943706400492888,0.1999999999989086
223,6.111111111111111,3.2666666666666666,17.22222222222222,0.3325168950553376,0.1200585879239931,-1.964,0.28403338498559,0.110000000000582
224,6.111111111111111,2.811111111111112,18.11111111111111,0.3964254139727549,0.2268152654822433,-0.864,0.2491991639135518,0.089999999999236
