,average_valence_number,average_electronegativity,average_atomic_number,Gap,std_dev wt CN_1,HF,mean wt CN_1,Barrier_energy
396,8.222222222222221,2.2533333333333334,21.77777777777778,0.0,0.0038944689770045,-0.497,0.0034139617477436,0.5633333333333516
397,13.77777777777778,2.2366666666666664,31.77777777777778,0.0,0.0036754459318235,-0.393,0.002794740677261,0.8233333333334182
398,13.77777777777778,2.2366666666666664,31.77777777777778,0.0,0.0276774611683012,-0.37,0.0116040723199435,0.7333333333334243
410,4.888888888888889,2.768888888888889,10.0,0.51,0.3976657434594426,-1.526,0.244241646988866,0.0533333333331332
412,16.0,2.42,46.0,1.007,0.0,-0.183,0.0,0.8733333333333727
413,16.0,2.27,52.0,0.838,0.0,-0.25,0.0,0.7900000000001152
414,16.0,2.27,52.0,1.011,0.0,-0.128,0.0,0.7200000000001031
415,6.0,2.7266666666666666,22.0,1.06,1.7892146506089982e-05,-1.361,1.265165812443942e-05,0.8000000000001819
416,9.333333333333334,2.716666666666667,28.0,0.752,1.7892146506089982e-05,-1.174,1.265165812443942e-05,0.849999999999909
417,13.555555555555555,2.218888888888889,35.55555555555556,0.0,0.0272649940502736,-0.273,0.0141679688710516,0.7300000000000182
420,12.22222222222222,2.1100000000000003,28.444444444444443,0.438,0.0131941152108016,-0.89,0.0089315799863684,0.9733333333335092
421,12.22222222222222,1.8600000000000003,38.44444444444444,0.091,0.011573399762548,-0.549,0.0061862423873751,0.996666666666594
423,12.666666666666666,2.27,42.66666666666666,1.136,0.0,-0.479,0.0,0.7966666666667
426,13.333333333333334,2.163333333333333,31.33333333333333,0.0,0.0070330346339446,-0.481,0.0062789254962689,0.7366666666666788
427,13.333333333333334,2.163333333333333,31.33333333333333,0.0,0.0065969673784486,-0.481,0.0058424778773977,0.839999999999994
428,13.333333333333334,2.163333333333333,31.33333333333333,0.0,0.0200243066736941,-0.458,0.0142963898178402,0.8166666666667576
429,9.0,2.2433333333333336,30.33333333333333,0.0,0.0,-0.947,0.0,0.7733333333333879
430,13.333333333333334,1.913333333333333,41.333333333333336,0.0,0.0019082220696198,-0.205,0.001019376922032,0.7600000000000667
431,13.333333333333334,1.913333333333333,41.333333333333336,0.0,0.0171632413678077,-0.187,0.0071797001145567,0.8866666666667697
433,8.444444444444445,2.7377777777777776,17.555555555555557,0.0,0.0323840427137393,-1.201,0.0227378029421457,0.1099999999999757
436,9.0,2.0933333333333333,36.333333333333336,0.0,0.0,-0.76,0.0,0.8599999999999758
437,14.0,2.243333333333333,32.0,0.0,0.0056641936537453,-0.415,0.0043829980529012,0.7133333333332909
438,14.0,2.243333333333333,32.0,0.0,0.0271838201619802,-0.408,0.0127470041507898,0.7533333333334061
