,average_valence_number,std_dev wt CN_1,average_electronegativity,average_atomic_number,thickness,mean q2 CN_12,uc_area,Barrier_energy
475,9.333333333333334,0.0,2.3466666666666667,47.333333333333336,3.39,0.0058729139898405,9.79,0.6200000000001182
479,8.666666666666666,0.0,2.0033333333333334,36.0,3.392,0.0025827913371693,12.137,0.2733333333333121
480,12.333333333333334,0.0,2.0500000000000003,53.0,3.472,0.0031037245446359,11.212,0.2633333333333212
482,12.0,0.0,2.063333333333333,36.0,3.39,0.0033715858476795,11.323,0.7766666666666424
486,12.0,0.0,1.9933333333333332,42.0,3.364,0.0010783701560258,13.063,0.6133333333334576
488,6.666666666666667,0.3390042233944878,2.8466666666666662,11.77777777777778,4.698,0.0,38.888,0.2799999999997453
489,8.666666666666666,0.0,2.67,18.666666666666668,5.356,0.0,12.156,0.6566666666669031
492,12.0,0.4514639831424421,2.373333333333333,27.33333333333333,5.898,0.0,21.84,0.8533333333333152
509,5.333333333333333,0.0,3.01,10.0,4.066,0.0,10.57,0.0866666666667394
512,13.2,0.0,2.282,31.2,5.119,0.0002320837326375,10.801,0.9500000000001212
518,8.8,0.0117059523716823,2.272,22.0,6.151,0.0,11.865,0.5300000000000485
533,6.0,0.0,1.5600000000000005,16.0,4.816,0.0029219930500118,14.928,0.8456666666667161
534,8.333333333333334,5.0599038329586766e-05,1.6266666666666667,26.33333333333333,6.221,0.0018184041744376,14.906,0.3499999999999848
540,8.333333333333334,0.0,1.6800000000000004,21.0,3.916,0.0060004101278164,13.926,0.3933333333332787
541,8.0,1.7892146506089982e-05,1.6466666666666665,23.33333333333333,4.923,0.0052011284792732,14.948,0.1733333333334788
542,8.333333333333334,1.7892146506089982e-05,1.663333333333333,23.666666666666668,5.138,0.0025334433731512,14.447,0.4000000000000152
543,13.6,0.0,2.294,31.6,5.047,0.000297800468237,11.38,0.8933333333334303
544,13.6,0.0,2.024,42.4,5.182,0.0019411047451993,13.358,0.8466666666668061
545,9.2,0.0656237192904532,2.076,54.0,5.642,0.0,18.856,0.3633333333330786
548,6.0,5.059903832958675e-05,1.4366666666666668,21.33333333333333,5.655,0.0049553659404544,20.248,0.2309999999999945
552,8.666666666666666,0.0001430727218744,1.6366666666666667,26.666666666666668,5.592,0.0051937650475222,16.927,0.3433333333334
553,7.666666666666667,1.7892146506089982e-05,1.5700000000000005,20.33333333333333,4.278,3.4601330669812044e-05,13.61,0.4999999999998484
556,13.0,0.0524961572812938,2.16,31.0,4.579,0.0,13.59,0.8566666666664181
559,8.666666666666666,0.0001999201727069,1.6733333333333331,24.0,4.532,0.0062593073006297,16.267,0.3866666666666939
565,14.0,9.247368354490147e-05,2.1833333333333336,65.33333333333333,4.309,0.0,29.761,0.5999999999999849
567,14.8,0.0105346484479296,2.346,52.8,6.755,0.0,17.958,0.9200000000000728
579,7.2,0.0956698114607712,1.814,15.6,2.609,0.0,33.378,0.8699999999999667
585,9.333333333333334,0.0004646154980459,1.97,44.0,4.147,0.0,30.872,0.6166666666664847
592,4.8,0.0546554719767046,2.88,6.8,1.764,0.0,30.191,0.3799999999999575
593,5.0,1.7892146506089982e-05,1.5566666666666666,32.333333333333336,5.648,0.0055986900937387,15.765,0.0099999999999909
598,8.666666666666666,0.0,1.6033333333333333,38.66666666666666,5.238,0.0061882332912785,17.898,0.0033333333333303
599,7.2,0.0,2.3,20.4,5.036,0.0,18.866,0.4000000000005457
600,6.0,0.0,2.212,19.2,5.56,0.0,20.537,0.8600000000001273
603,5.333333333333333,0.0,1.5666666666666664,32.666666666666664,5.377,0.0069841728474797,16.853,0.0133333333333212
605,8.8,0.0440235282768221,2.7880000000000003,17.2,5.422,0.0,15.74,0.5299999999998969
615,8.8,0.0041068861491411,2.26,29.2,6.165,0.0,25.953,0.8766666666665515
616,8.8,0.0117142282963554,2.26,29.2,5.255,0.0,43.424,0.5666666666664545
637,9.0,0.1500822858050148,2.172,23.8,4.349,0.0,25.247,0.9800000000004728
650,13.0,0.0025984740287513,1.98,38.2,4.003,0.0,35.087,0.8533333333334667
651,5.2,0.0,2.164,18.4,5.682,0.0,21.102,0.5199999999999818
662,12.0,1.7892146506089982e-05,2.2066666666666666,36.0,3.331,0.0,33.723,0.8600000000000515
674,11.333333333333334,0.0008853220091644,2.8000000000000003,43.333333333333336,2.511,0.0,30.353,0.8866666666666182
678,14.333333333333334,0.0055442757790157,2.5,38.333333333333336,5.053,0.0,27.417,0.7100000000000364
690,11.333333333333334,0.0,2.766666666666666,24.0,5.495,0.0,12.533,0.5766666666666728
692,10.333333333333334,0.0001604173122579,2.83,23.0,4.442,0.0,19.66,0.3500000000000606
693,10.333333333333334,0.0,2.83,23.0,2.509,0.0,22.328,0.3700000000003456
697,12.0,0.0,2.7366666666666664,24.666666666666668,5.541,0.0,13.105,0.9133333333335636
701,15.333333333333334,0.450892048239878,2.44,33.333333333333336,5.824,0.0,22.118,0.7199999999999515
704,15.333333333333334,0.4160559589313125,2.29,39.333333333333336,5.692,0.0,25.165,0.9899999999999332
737,4.222222222222222,0.0,2.2766666666666664,21.33333333333333,11.091,0.0002352525225724,10.964,0.6333333333289678
766,11.0,0.0,2.77,23.666666666666668,5.261,0.0,12.301,0.5066666666665091
768,14.333333333333334,0.0,2.473333333333333,32.333333333333336,5.423,0.0,17.468,0.5966666666666546
782,8.666666666666666,0.0,2.54,27.33333333333333,6.701,0.0,12.793,0.9433333333334608
800,13.666666666666666,0.0,2.57,37.66666666666666,5.976,0.0,17.619,0.5933333333330969
816,4.0,0.3883777881843008,2.638333333333333,7.777777777777778,5.329,0.0,25.254,0.0300000000006548
821,12.0,0.0150387856034494,2.168,33.6,3.619,0.0012997604617053,61.295,0.8066666666660846
822,12.0,0.0158251582675603,1.943,42.6,3.909,0.0006118804095892,66.305,0.7066666666675397
827,12.0,0.0156051783795994,2.148,40.0,3.623,0.0012251113808592,60.955,0.7299999999995634
833,7.090909090909091,0.1166748069279485,2.7927272727272725,27.09090909090909,0.006,0.0,75.352,0.5266666666666424
842,3.333333333333333,0.0,2.12,12.666666666666666,5.109,0.0,13.804,0.7333333333332727
